<<<<<<< HEAD
,Website,Domain,Comments
476,Downtrend,downtrend.com,"questionable, fake, satire, "
477,Draining the Swamp,drainingtheswamp.info,"questionable, "
478,drrichswier,drrichswier.com,", hate, bias, "
479,Drudge Retort,drudgereport.com.co,"left, fake, "
480,Duffel Blog,duffleblog.com,"satire, satire, "
481,Duh Progressives,duhprogressive.com,"satire, satire, "
482,Dutch Daily News,dutchdailynews.com,"left_center, "
483,dutchsinse,dutchsinse.com,", conspiracy, weather control"
484,Eagle Rising,eaglerising.com,"questionable, bias, clickbait, "
485,Eagle Tribune,eagletribune.com,"least_biased, "
486,Earth Institute,earth.columbia.edu/sections/view/9,"least_biased, "
487,Earth First! Journal,earthfirstjournal.org,"left, "
488,Earth Magazine,earthmagazine.org,"pro_science, "
489,East Bay Times,eastbaytimes.com,"left_center, "
490,Bay Area Reporter,ebar.com,"left, "
491,ebolahoax,ebolahoax.com,", conspiracy, domain for sale"
492,economicnoise,economicnoise.com,", political, unreliable, sites some problematic sources, like CNS news"
493,The Economic Times,economictimes.indiatimes.com,"left_center, "
494,The Economist,economist.com,"least_biased, "
495,Economy in Crisis,economyincrisis.org,"left, "
496,EcoWatch,ecowatch.com,"pseudoscience, political, this site claims junksci, but I read over a dozen articles w/o finding any. probably should re-check soon https://mediabiasfactcheck.com/ecowatch/"
497,Edmonton Journal,edmontonjournal.com,"left_center, "
498,Edmonton Sun,edmontonsun.com,"right_center, "
499,Educate-Yourself,educate-yourself.org,"pseudoscience, conspiracy, junksci, "
500,educateinspirechange.org/health,educateinspirechange.org/health,", clickbait, junksci, "
501,electionnightgatekeepers,electionnightgatekeepers.com,", conspiracy, unreliable, "
502,Electronic Intifada,electronicintifada.net,"left, "
503,elelephantintheroom.blogspot,elelephantintheroom.blogspot.com,", bias, "
504,Elisabeth Parker,elisabethparker.com,"left, "
505,Elite Daily,elitedaily.com,"left, "
506,elitereaders,elitereaders.com,", clickbait, "
507,elkoshary,elkoshary.com,", satire, About Me notes that it's not fake/satirical news"
508,elmundotoday,elmundotoday.com,", satire, About Me notes that it's not fake/satirical news"
509,El Pais,elpais.com/elpais/inenglish.html,"left_center, "
510,El Paso Times,elpasotimes.com,"left_center, "
511,Embols,embols.com,"questionable, fake, "
512,Emirates 24/7,emirates247.com,"left_center, "
513,Empire Herald,empireherald.com,"questionable, imposter site, fake, satire, "
514,Empire News,empirenews.net,"satire, parody site, fake, "
515,empiresports,empiresports.co,", parody site, satire, "
516,Empty Wheel,emptywheel.net,"left_center, political, commentary on current events/news"
517,En Volve,en-volve.com,"questionable, fake news, fake, "
518,Bbarta24,en.bbarta24.net,"least_biased, "
519,MercoPress,en.mercopress.com,"least_biased, "
520,Metapedia,en.metapedia.org/wiki/Main_Page,"questionable, "
521,Vatican Radio,en.radiovaticana.va,"questionable, "
522,enabon,enabon.com,", fake, No authors, no contact, just copy/pasted from other questionable sites"
523,Encyclopedia Dramatica,encyclopediadramatica.se/Main_Page,"satire, "
524,Ending the Fed News,endingthefed.com,"questionable, bias, "
525,endoftheamericandream,endoftheamericandream.com,", Conspiracy, Fake, Political, Traffics in religious conspiracy theories and poorly sourced pro-Trump propaganda"
526,endtime,endtime.com,", bias, clickbait, Political, Not sure about this one. zany religious prophecy/not really conspiracy | I would classify this as ""religious clickbait,"" with all of its reporting coming through a fundamentalist Christian filter-- thus the ""extreme bias."""
527,End Time Headlines,endtimeheadlines.org,"pseudoscience, "
528,Enduring Vision,enduringvision.com,"satire, fake, "
529,Al Majalla,eng.majalla.com,"least_biased, "
530,Engadget,engadget.com,"left_center, "
531,Asharq Al-Awsat,english.aawsat.com,"least_biased, "
532,Ahram Online,english.ahram.org.eg,"least_biased, "
533,Al Arabiya,english.alarabiya.net,"least_biased, "
534,enhlive,enhlive.com,", fake news, fake, "
535,Esquire Magazine,esquire.com,"left, "
536,EU Observer,euobserver.com,"left_center, "
537,Euractiv,euractiv.com,"left_center, "
538,Eurasia Group,eurasiagroup.net,"least_biased, "
539,Euronews,euronews.com,"least_biased, "
540,eutimes,eutimes.net,", hate, conspiracy, "
541,The European Union Times,eutimes.net,"pseudoscience, "
542,eutopia.buzz,eutopia.buzz,", fake, satire, conspiracy, "
543,Evening Harold,eveningharold.com,"satire, "
544,Every CRS Report,everycrsreport.com,"least_biased, "
545,Everyday Feminism,everydayfeminism.com,"left, "
546,Every News Here,everynewshere.com,"pseudoscience, "
547,Evolution News and Views,evolutionnews.org,"pseudoscience, "
548,Evonomics,evonomics.com,"left, "
549,ewao,ewao.com,", junksci, "
550,Environmental Working Group (EWG),ewg.org,"pseudoscience, "
551,experimentalvaccines,experimentalvaccines.org,", junksci, conspiracy, "
552,expose1933,expose1933.com,", conspiracy, hate, references to ""white genocide"" and ""race mixing"""
553,Daily Express,express.co.uk,"right, "
554,express,express.co.uk,", rumor, well-known tabloid"
555,extraclubmagazine,extraclubmagazine.com,", bias, clickbait, fake, vacillates between outright fake and misleading stories"
556,eyeopening,eyeopening.info,", conspiracy, junksci, "
557,SciCheck,factcheck.org/scicheck,"pro_science, "
558,FactsCan,factscan.ca,"least_biased, "
559,Fairness & Accuracy in Reporting (FAIR),fair.org,"left_center, "
560,The Federation for American Immigration Reform,fairus.org,"questionable, "
561,FairVote,fairvote.org,"left_center, "
562,The Fake News Codex,fakenewscodex.com,"least_biased, "
563,fakingnews,fakingnews.com,", fake, satire, fiction disclaimer on bottom of home screen"
564,Family Security Matters,familysecuritymatters.org,"right, conspiracy, bias, "
565,Family Survival Headlines,familysurvivalheadlines.com,"pseudoscience, "
566,farmwars,farmwars.info,", fake news, conspiracy, Much of the site is focused on anti-GMO conspiracies, with political conspiracies coming in as a close second. There are some apparent attempts to source some wild claims, but the use of unstable URLs-- intentionally or otherwise-- thwarts this."
567,Federation of American Scientists (FAS),fas.org,"pro_science, "
568,Federalist Press,federalistpress.com,"right, bias, "
569,Federalist Tribune,federalisttribune.com,"questionable, fake news, "
570,fedsalert,fedsalert.com,", fake news, fake, "
571,Foundation for Economic Education,fee.org,"right_center, "
572,fellowshipoftheminds,fellowshipoftheminds.com,", conspiracy, junksci, "
573,Feminist Frequency,feministfrequency.com,"left_center, "
574,Fifth Estate,fifthestate.org,"left, "
575,Filming Cops,filmingcops.com,"left, "
576,filmsforaction,filmsforaction.org,", political, "
577,Financial Express,financialexpress.com,"least_biased, "
578,Financial Post,financialpost.com,"right_center, "
579,financialsurvivalnetwork,financialsurvivalnetwork.com,", unreliable, bias, "
580,firearmscoalition,firearmscoalition.org,", bias, blog, A single-issue blog, it hasn't been updated since August 2016. It talks about guns, has lots of dead links, and has trouble distinguishing between legitimate and illegitimate sources."
581,firstpost,firstpost.com,", some fake stories, "
582,FiveThirtyEight,fivethirtyeight.com,"left_center, "
583,flashnewscorner,flashnewscorner.com,", fake news, fake, "
584,floridasunpost,floridasunpost.com,", parody site, fake, satirical, I concur: http://mashable.com/2016/10/03/fake-news-story-man-marries-granddaughter/#QvpAzP.e8Oqb"
585,FM Observer,fmobserver.com,"satire, satire, "
586,focusnews,focusnews.info,", fake news, "
587,Focus on the Family,focusonthefamily.com,"questionable, "
588,fognews.ru,fognews.ru,", satire, site contains satire disclaimer"
589,Food Babe,foodbabe.com,"pseudoscience, junksci, "
590,Forbes,forbes.com,"right_center, "
591,Foreign Affairs,foreignaffairs.com,"least_biased, "
592,Foreign Policy,foreignpolicy.com,"least_biased, "
593,Foreign Policy Initiative,foreignpolicyi.org,"right_center, "
594,foreignpolicyjournal,foreignpolicyjournal.com,", political, legit source coming from a political perspective"
595,Fortune Magazine,fortune.com,"right_center, "
596,The Forward,forward.com,"left_center, "
597,Forward Progressives,forwardprogressives.com,"left, "
598,fourwinds10,fourwinds10.net,", conspiracy, junksci, "
599,fox-news24,fox-news24.com,", imposter site, "
600,Fox News,foxnews.com,"right, "
601,Foreign Policy Research Institute,fpri.org,"right_center, "
602,fprnradio,fprnradio.com,", conspiracy, fake, "
603,France24,france24.com/en,"left_center, "
604,Franklin Center for Government and Public Integrity,franklincenterhq.org,"right_center, "
605,Family Research Council,frc.org,"questionable, "
606,Freakonomics,freakonomics.com,"left_center, "
607,Freakout Nation,freakoutnation.com,"questionable, bias, "
608,freebeacon,freebeacon.com,", bias, "
609,Washington Free Beacon,freebeacon.com,"right, "
610,freedomcrossroads.us,freedomcrossroads.us,", fake news, "
611,Freedom Daily,freedomdaily.com,"questionable, fake news, fake, "
612,freedomforceinternational,freedomforceinternational.com,", conspiracy, global warming denial"
613,Freedom House,freedomhouse.org,"right_center, "
614,Freedom Liberty News,freedomlibertynews.com,"questionable, "
615,Freedom Outpost,freedomoutpost.com,"questionable, conspiracy, bias, "
616,Freedom’s Final Stand,freedomsfinalstand.com,"questionable, fake news, "
617,freedomsphoenix,freedomsphoenix.com,", bias, conspiracy, "
618,Freedom Works,freedomworks.org,"right, political, "
619,freedomworldnews,freedomworldnews.com,", bias, unreliable, "
620,International Press Institute,freemedia.at,"least_biased, "
621,Detroit Free Press,freep.com,"left_center, "
622,Free Press,freepress.net,"left_center, "
623,Free West Media,freewestmedia.com,"least_biased, "
624,Free Wood Post,freewoodpost.com,"satire, parody site, satire, "
625,freshdailyreport,freshdailyreport.com,", fake news, fake, "
626,Fresno Bee,fresnobee.com,"left_center, "
627,fridaymash,fridaymash.com,", satire, "
628,Friends of Science,friendsofscience.org,"pseudoscience, "
629,From the Trenches World Report,fromthetrenchesworldreport.com,"pseudoscience, conspiracy, junksci, bias, "
630,Move On,front.moveon.org,"left, "
631,frontpagemag,frontpagemag.com,", bias, hate, Part of David Horowitz' Freedom Center"
632,Frontpage Magazine,frontpagemag.com,"questionable, "
633,Financial Times,ft.com,"least_biased, "
634,Full Fact (UK),fullfact.org,"least_biased, "
635,Fury News,fury.news,"questionable, "
636,Fusion,fusion.net,"left_center, political, reliable, website contains some satire"
637,Future in America,futureinamerica.com/news,"right, "
638,Government Accountability Institute,g-a-i.org,"right, "
639,gaia,gaia.com,", conspiracy, junksci, "
640,galacticconnection,galacticconnection.com,", junksci, "
641,Gallup,gallup.com/home.aspx,"least_biased, "
642,gangstergovernment,gangstergovernment.com,", conspiracy, bias, "
643,gatesofvienna,gatesofvienna.net,", hate, conspiracy, "
644,Gatestone Institute,gatestoneinstitute.org,"right, "
645,Gawken,gawken.com,"satire, "
646,Colorado Springs Gazette,gazette.com,"right_center, "
647,GeoEngineering Watch,geoengineeringwatch.org,"pseudoscience, junksci, conspiracy, "
648,Geology In,geologyin.com,"pro_science, "
649,Covert Geopolitics,geopolitics.co,"pseudoscience, "
650,geopolmonitor,geopolmonitor.com,", political, this website is tricky (in terms of writers using some interesting frames/language). def could use a second analysis."
651,givemeliberty01,givemeliberty01.com,", fake news, fake, "
652,Gizmodo,gizmodo.com,"left, "
653,Glamour Magazine,glamour.com,"left_center, "
654,glaringhypocrisy,glaringhypocrisy.com,", hate, conspiracy, references to ""Jew World Order"""
655,Global Info Today,globalinfotoday.com,"questionable, "
656,Global Integrity,globalintegrity.org,"least_biased, "
657,Global News,globalnews.ca,"left_center, "
658,globalpoliticsnow,globalpoliticsnow.com,", fake news, fake, "
659,Global Research,globalresearch.ca,"pseudoscience, conspiracy, "
660,Global Skywatch,globalskywatch.com,"pseudoscience, "
661,Global Times,globaltimes.cn,"left_center, "
662,glossynews,glossynews.com,", satire, "
663,Godlike Productions,godlikeproductions.com,"pseudoscience, conspiracy, "
664,Gomer Blog,gomerblog.com,"satire, satire, site contains satire disclaimer"
665,Gone Left,goneleft.com,"questionable, fake, "
666,Good Magazine,good.is,"left, "
667,GoodGopher,goodgopher.com,"questionable, "
668,GoodNewsNetwork,goodnewsnetwork.org,"least_biased, "
669,GOP.com,gop.com,"right, "
670,gopthedailydose,gopthedailydose.com,", fake, conspiracy, bias, "
671,Governing Magazine,governing.com,"left_center, "
672,Government Executive,govexec.com,"least_biased, "
673,GovTrack,govtrack.us,"least_biased, "
674,Government Slaves,govtslaves.info,"pseudoscience, "
675,govtslaves,govtslaves.info,", conspiracy, "
676,GQ Magazine,gq.com,"left, "
677,greanvillepost,greanvillepost.com,", conspiracy, "
678,greenmedinfo,greenmedinfo.com,", junksci, "
679,Greenpeace,greenpeace.org/usa,"pseudoscience, "
680,Greensboro News and Record,greensboro.com,"left_center, "
681,Greenville Gazette,greenvillegazette.com,"left, "
682,Grist,grist.org,"left_center, "
683,Group of Thirty,group30.org,"right_center, "
684,Guardian Liberty Voice,guardianlv.com,"left, "
685,guardianlv,guardianlv.com,", political, "
686,guccifer2.wordpress,guccifer2.wordpress.com,", unreliable, "
687,Gulag Bound,gulagbound.com,"pseudoscience, bias, "
688,Gulf News,gulfnews.com,"right_center, "
689,gummypost,gummypost.com,", fake news, fake, "
690,Alan Guttmacher Institute,guttmacher.org,"left_center, "
691,Haaretz,haaretz.com,"left_center, "
692,Hang the Bankers,hangthebankers.com,"questionable, conspiracy, "
693,Hard Dawn,harddawn.com,"satire, "
694,Harpers,harpers.org,"left_center, "
695,Harvard Political Review,harvardpolitics.com,"least_biased, "
696,Headline News Network,headlinennews.com,"satire, "
697,Health Eternally,healtheternally.com,"pseudoscience, "
698,Health Impact News,healthimpactnews.com,"pseudoscience, junksci, bias, "
699,Health Nut News,healthnutnews.com,"pseudoscience, junksci, "
700,healthy-holistic-living,healthy-holistic-living.com,", junksci, clickbait, "
